pubDate,title,description
2025-12-15 00:01:00,이재명·오세훈 호평에 뜨는 정원오…'다윗과 골리앗 싸움' 조짐,"야권 내부에서는 '현역 프리미엄'으로 서울시장 선거를 두고 여전히 승산이 있다는 인식이 나온다. 부동산 대책에 따른 서울 민심이 이반이 큰 데다, 현직 시장인 오 시장이 갖는 인지도와 조직력 역시 무시하기 어렵다는... "
2025-12-14 21:40:00,정원오 서울시장 출마 선언 임박? “서울을 글로벌 G2 메가시티로 만들...,정원오가 생각하는 ‘서울의 비전’은?서울시장에 출마한다면 공약은?구청장 11년 동안 기억에 남는 사건을... 부동산도 많이 올랐다. 아파트 매매 지수가 2014년 대비 두 배가 넘는다. 상승률 기준으로 4위다. 윤석열 3년... 
2025-12-14 21:14:00,[스트레이트] 누구를 위한 사업인가,"[이광수/부동산 전문가] &quot;기업이 그렇게 (땅을) 사는 건 흔치 않은 경우라고 저는 보고 있고 아, 이건 확신이... 세 차례에 걸쳐 서울 시민들의 의견을 조사한 결과, 감사의 정원 사업을 지지하는 시민 여론이 확인됐다는... "
2025-12-14 19:38:00,"오세훈 &quot;정부, 10.15 대책 부작용 외면…규제 완화하라&quot;",&quot;실수요자 투기꾼 취급하는 대출 정책도 즉각 전환해야&quot; 오세훈 서울시장이 14일 &quot;정부는 10.15 부동산 대책의 부작용을 더 이상 외면해서는 안 된다&quot;며 재개발·재건축 등 도시정비사업 규제 완화와 대출 확대를 골자로 한... 
2025-12-14 19:32:00,오세훈 &quot;10.15 부동산대책은 악정(惡政)&quot;,"&quot;정부, 주거 불안 해소는커녕 오히려 부추긴 꼴&quot; 오세훈 서울시장은 15일 &quot;선의로 시작한 정책이어도 그 결과가 해롭다면 그것은 곧 악정(惡政)&quot;이라며 10.15 부동산대책을 '악정'으로 규정했다. 오 시장은 이날 페이스북을... "
2025-12-14 18:46:00,"[EBN 오늘(14일) 이슈 종합] 재계, 연말 인사 마무리 후 'AI 중심' 내년 ...",14일 업계에 따르면 주요 부동산 연구기관들은 내년 전국 집값을 보합 내지 소폭 하락으로 보면서도 서울을... 서울시는 13일 도시·건축공동위원회 수권분과위원회를 열고 '여의도동 34-3번지 기반시설 충분 여부 검토 등... 
2025-12-14 18:30:00,10·15 대책의 역설...사업 규모 작을수록 정비사업 난항,com 6일 서울 송파구 롯데월드타워 전망대 서울스카이에서 바라본 서울 시내 아파트 및 빌라단지의 모습.... 남혁우 우리은행 부동산 연구위원은 &quot;서울 외곽 및 경기·인천은 상대적으로 분양가가 낮고 분양 흥행 여부가... 
2025-12-14 18:27:00,전세사기 빌라로 눈돌린 매수자들…정산 끝난 'HUG 경매 물건' 불티,"실제 부동산경매 전문 플랫폼 옥션원에 따르면 지난 12일 기준 서울시에 나온 빌라 경매 건수는 1800여건, 이 가운데 인수조건변경이 붙은 물건은 700여건이다. 전체의 3분의 1 이상이 관련 물건으로 구성된 것이다. 가장... "
2025-12-14 18:18:00,공급 확대 '신호'만…말로만 &quot;토허제 해제&quot;,"같은 땅을 두고 &quot;공급 물량을 늘리겠다&quot;는 국토부와 &quot;사업 속도가 빨라야 한다&quot;는 서울시가 신경전을 벌이는 중입니다. 10·15 대책이 2달을 맞은 가운데, 서울 아파트값 상승폭 다시 커지고 있습니다. 한국부동산원이... "
2025-12-14 18:17:00,소비쿠폰·토허제에 세수 흔들리자…서울·경기 '취약층 복지예산' 삭감,토허제 시행으로 서울 전역과 경기도 일부 지역에서 부동산 거래가 위축돼 세수 감소가 예상되는 데다 민생회복 소비쿠폰 사업에 따른 지방비 부담까지 겹쳐 재정 전반이 흔들리고 있다는 분석이다. 서울시는 지난... 
